chance1,chance2,chance3,chance4,chance5,chance6,chance7,chance8,chance9,outcome
2,1,9,8,3,6,7,5,4,D
2,7,3,1,4,8,9,6,5,D
2,6,1,3,9,5,4,7,0,W
2,3,5,8,1,9,7,6,0,W
2,1,9,4,7,8,5,3,6,D
2,4,3,1,7,5,6,9,0,W
2,9,5,8,7,3,6,4,1,D
2,5,8,7,3,1,4,9,0,W
2,1,9,8,3,6,5,7,4,D
2,9,5,8,7,3,6,4,1,D
2,7,3,1,4,6,5,8,9,D
2,8,3,1,5,7,9,4,0,W
2,7,3,1,4,9,8,5,0,W
2,5,8,1,9,7,4,3,0,W
2,3,5,8,1,9,7,6,0,W
2,9,5,8,7,3,6,4,1,D
2,6,1,3,9,5,4,7,0,W
2,4,3,1,7,5,6,9,0,W
2,1,9,8,5,6,4,3,7,D
2,9,5,8,7,3,6,4,1,D
2,8,3,1,5,7,9,4,0,W
2,1,9,7,4,6,5,8,3,D
2,3,5,8,1,9,7,6,0,W
2,1,9,7,4,3,5,6,8,L
2,1,9,7,4,6,5,8,3,D
2,1,9,5,7,8,3,6,4,D
2,1,9,6,5,8,3,7,4,D
2,7,3,1,4,8,9,6,5,D
2,6,1,3,9,5,4,7,0,W
2,9,5,8,7,3,6,4,1,D
2,5,8,6,4,7,3,1,9,D
2,4,3,1,7,5,6,9,0,W
2,7,3,1,4,6,5,8,9,D
2,5,8,9,1,3,6,7,0,W
2,8,3,1,5,7,9,4,0,W
2,1,9,7,4,6,3,8,5,D
2,9,5,8,7,3,6,4,1,D
2,9,5,8,7,3,6,4,1,D
2,6,1,3,9,5,4,7,0,W
2,4,3,1,7,5,6,9,0,W
2,3,5,8,1,9,7,6,0,W
2,1,9,5,3,6,4,8,7,D
2,7,3,1,4,6,5,8,9,D
2,8,3,1,5,7,9,4,0,W
2,1,9,8,3,6,7,5,4,D
2,7,3,1,4,9,8,5,0,W
2,9,5,8,7,3,6,4,1,D
2,5,8,4,6,7,1,3,0,W
2,6,1,3,9,5,4,7,0,W
2,9,5,8,7,3,6,4,1,D
2,1,9,5,8,7,4,3,0,W
2,3,5,8,1,9,7,6,0,W
2,4,3,1,7,5,6,9,0,W
2,5,8,3,7,9,6,1,0,W
2,9,5,8,7,3,6,4,1,D
2,8,3,1,5,7,9,4,0,W
2,7,3,1,4,8,9,6,5,D
2,7,3,1,4,6,5,8,9,D
2,9,5,8,7,3,6,4,1,D
2,3,5,8,1,9,7,6,0,W
2,4,3,1,7,5,6,9,0,W
2,1,9,8,3,6,5,7,4,D
5,6,9,1,8,7,2,0,0,L
4,8,5,6,7,1,3,0,0,L
9,3,5,1,2,8,7,6,4,D
3,9,5,7,8,2,4,6,1,D
9,4,5,1,8,7,0,0,0,W
9,7,5,1,4,6,8,2,3,D
7,8,5,3,4,6,1,0,0,L
2,5,6,4,3,1,9,0,0,L
4,8,2,6,5,7,9,1,3,D
6,2,3,9,5,4,7,0,0,L
1,8,5,9,7,4,3,0,0,L
6,4,8,1,7,9,5,2,3,L
5,4,8,2,9,7,1,0,0,L
5,4,9,1,7,8,3,0,0,L
9,6,7,8,5,1,3,0,0,L
9,6,7,8,5,1,3,0,0,L
9,6,7,8,5,1,3,0,0,L
9,6,5,1,7,8,3,0,0,L
5,9,7,3,8,6,0,0,0,W
6,1,5,4,8,7,0,0,0,W
5,7,4,6,8,2,9,1,3,D
6,5,8,1,9,7,4,3,0,W
5,3,1,9,6,4,2,8,7,D
1,2,5,9,7,4,3,0,0,L
1,7,5,9,8,2,6,4,3,D
6,7,1,2,9,3,5,0,0,L
9,3,1,5,7,8,4,0,0,L
9,2,1,5,8,7,4,3,0,W
9,1,4,5,7,8,2,3,6,D
3,9,7,5,1,2,4,0,0,L
3,2,7,5,8,9,1,4,6,D
